Final Model,Variable,Class,Coefficient,WOE,Score Points,Count,Good Count,Bad Count,Bad Rate,IV
dti,dti,"[30.02, inf)",-0.39906042140683523,-0.4980079325997385,-14.33571837417373,79976.0,56719.0,23257.0,0.2907997399219766,0.028001016174330116
dti,dti,Special,-0.39906042140683523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dti,dti,Missing,-0.39906042140683523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dti,dti,,-0.39906042140683523,,,813351.0,651099.0,162252.0,0.1994858308405596,0.07545178088636895
revol_util,revol_util,"(-inf, 16.45)",-1.292637655920554,0.31264346890457606,29.15215787628318,56452.0,47748.0,8704.0,0.15418408559484165,0.006155800617794232
revol_util,revol_util,"[16.45, 23.25)",-1.292637655920554,0.2266662732813376,21.135291925586696,40867.0,34094.0,6773.0,0.16573274279981404,0.0024072106274650304
revol_util,revol_util,"[23.25, 28.55)",-1.292637655920554,0.16670205434834307,15.543982491273164,41024.0,33878.0,7146.0,0.17419071762870514,0.0013318536359607917
revol_util,revol_util,"[28.55, 33.15)",-1.292637655920554,0.14386031314187808,13.414124963293554,41904.0,34466.0,7438.0,0.17750095456281023,0.0010203787981850814
revol_util,revol_util,"[33.15, 38.15)",-1.292637655920554,0.0893400645096103,8.33043362264,51837.0,42216.0,9621.0,0.18560101857746397,0.0004950705026223475
revol_util,revol_util,"[38.15, 42.45)",-1.292637655920554,0.0510963078641129,4.764429076253724,46978.0,37984.0,8994.0,0.19145131763804335,0.00014848566555667337
revol_util,revol_util,"[42.45, 47.85)",-1.292637655920554,0.009727850961554596,0.9070646766484939,62237.0,49918.0,12319.0,0.19793691855327217,7.219935225592092e-06
revol_util,revol_util,"[47.85, 51.95)",-1.292637655920554,-0.014320937340645434,-1.3353428675597199,48805.0,38957.0,9848.0,0.2017826042413687,1.2359327185235847e-05
revol_util,revol_util,"[51.95, 56.55)",-1.292637655920554,-0.03944238626242047,-3.6777696824057813,55776.0,44294.0,11482.0,0.20585915088927137,0.00010794864443596033
revol_util,revol_util,"[56.55, 63.75)",-1.292637655920554,-0.06661740897407187,-6.211680130486942,84916.0,67055.0,17861.0,0.2103372744830185,0.00047261304257095445
revol_util,revol_util,"[63.75, 74.65)",-1.292637655920554,-0.0968532471357002,-9.030993550651708,116131.0,91116.0,25015.0,0.2154032945552867,0.0013784059454423883
revol_util,revol_util,"[74.65, 90.55)",-1.292637655920554,-0.12158995290347296,-11.337545337605482,122743.0,95787.0,26956.0,0.21961333843885192,0.002312732168166663
revol_util,revol_util,"[90.55, inf)",-1.292637655920554,-0.18744196050661377,-17.47785630857572,43681.0,33586.0,10095.0,0.2311073464435338,0.001993347379933139
revol_util,revol_util,Special,-1.292637655920554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revol_util,revol_util,Missing,-1.292637655920554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revol_util,revol_util,,-1.292637655920554,,,813351.0,651099.0,162252.0,0.1994858308405596,0.01784342629054409
annual_inc,annual_inc,"(-inf, 37187.78)",-0.5318840161072382,-0.21921348515342065,-8.410634287949922,88796.0,67769.0,21027.0,0.23680120726158835,0.0055922865157534305
annual_inc,annual_inc,"[37187.78, 45601.23)",-0.5318840161072382,-0.17867677493368928,-6.855349289601623,88707.0,68344.0,20363.0,0.22955347379575455,0.003669157033948156
annual_inc,annual_inc,"[45601.23, 50969.34)",-0.5318840161072382,-0.1303242097772097,-5.000190871173121,59951.0,46695.0,13256.0,0.2211139096929159,0.0013010092788386897
annual_inc,annual_inc,"[50969.34, 60939.50)",-0.5318840161072382,-0.10210862451296698,-3.9176344366913285,112921.0,88497.0,24424.0,0.21629280647532345,0.001491995899964233
annual_inc,annual_inc,"[60939.50, 65727.21)",-0.5318840161072382,-0.04072428119585059,-1.5624815943153236,50323.0,39953.0,10370.0,0.20606879558054966,0.00010386815033647072
annual_inc,annual_inc,"[65727.21, 70016.50)",-0.5318840161072382,-0.020525392143421195,-0.7875043217083877,45334.0,36141.0,9193.0,0.20278378259143248,2.3626572263774993e-05
annual_inc,annual_inc,"[70016.50, 75460.70)",-0.5318840161072382,0.0097714185049258,0.3749031564455052,46087.0,36965.0,9122.0,0.19793000195282834,5.39434603493559e-06
annual_inc,annual_inc,"[75460.70, 85787.50)",-0.5318840161072382,0.05080804289364238,1.9493685224968054,74341.0,60105.0,14236.0,0.19149594436448258,0.00023234984740739777
annual_inc,annual_inc,"[85787.50, 100220.00)",-0.5318840161072382,0.14495914046508962,5.561693963736552,86004.0,70752.0,15252.0,0.17734058880982279,0.002125619887201428
annual_inc,annual_inc,"[100220.00, 127670.50)",-0.5318840161072382,0.24485183641146846,9.394309156430413,78452.0,65646.0,12806.0,0.16323356957120277,0.005361464125028787
annual_inc,annual_inc,"[127670.50, 159902.00)",-0.5318840161072382,0.3228947876685604,12.38860816735264,41393.0,35066.0,6327.0,0.15285193148600004,0.004798777200632705
annual_inc,annual_inc,"[159902.00, inf)",-0.5318840161072382,0.39969242619608725,15.33512786426428,41042.0,35166.0,5876.0,0.14317041079869403,0.007112506567792137
annual_inc,annual_inc,Special,-0.5318840161072382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annual_inc,annual_inc,Missing,-0.5318840161072382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annual_inc,annual_inc,,-0.5318840161072382,,,813351.0,651099.0,162252.0,0.1994858308405596,0.03181805542520215
inq_last_6mths,inq_last_6mths,"(-inf, 0.50)",-0.8222375053125052,0.12087773867574314,7.169488175387913,434755.0,356116.0,78639.0,0.18088118595530817,0.007527542477719891
inq_last_6mths,inq_last_6mths,"[0.50, 1.50)",-0.8222375053125052,-0.05557170179376225,-3.2960631400073823,245002.0,193917.0,51085.0,0.2085085019714125,0.0009458001355732729
inq_last_6mths,inq_last_6mths,"[1.50, 2.50)",-0.8222375053125052,-0.2106859710483766,-12.496184944387734,88437.0,67631.0,20806.0,0.23526352092449992,0.005132427645132934
inq_last_6mths,inq_last_6mths,"[2.50, inf)",-0.8222375053125052,-0.3413751847629245,-20.24761033207345,45157.0,33435.0,11722.0,0.2595832318355958,0.007132694752896853
inq_last_6mths,inq_last_6mths,Special,-0.8222375053125052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inq_last_6mths,inq_last_6mths,Missing,-0.8222375053125052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inq_last_6mths,inq_last_6mths,,-0.8222375053125052,,,813351.0,651099.0,162252.0,0.1994858308405596,0.020738465011322954
